Product,Change,Note
[General],"Transitioned to Enhanced Price Card format
Updated product names to reflect rebrand",
[General],"Added the following product lines:  MCL, TCI, MLX Consulting",
XC Module,Add options for both annual billing and monthly billing (same annual total),
AP Mortgage,Transaction fee is for all LendingQB loans that use AP Mortgage. Previous price card said “all LendingQB retail loans that use AP Mtg.”.,
Deluxe Detect,Price = $4.06 per transaction. Partner Price 5% increase starting 3/1,
Deluxe Match Fee,Add LPQ/XA add-on. This was previously part of the Notes.  Now it its own line.,
,Price = $7.09 per transaction,
ID Authentication - Experian CrossCore – PreciseID for Compliance (aka Prescreen),Add LPQ/XA product,
,Per transaction: $3.00,
,"Setup Fee: $2000 (unless this is an add-on subcode to an existing CrossCore PreciseID client, then it is the $700 per subcode setup)",
Custom Product or Service - flat fee,Add to price card.  ,
Custom Product or Service - hourly,Price = “Quote”,
Custom Product or Service - monthly,These are generic shared items in the product catalog.,
Custom Product or Service - annual,,
Custom Product or Service - transaction fee,,
Custom Product or Service - R&D,,
API Web Services,Add shared product.  $500 setup & $5000 annual.,This previously existed as an LPQ only product and was removed in May 2020
Time & Materials (aka Professional Hours),Add to price card.  $250 per hour.,
After Hours Support,"Change price to $400 per hour (remove minimum # of hours) // Previously After Hours Support was $300/hr (2 hour minimum) for Services, Support, & SIE.  After Hours IT is $400/hr with no minimum. We are simplifying it all $400/hr for all departments. ",
Expedited Deployment,"Change pricing to “Quote”.  
Update note to “Reserved for projects with external restraints such as sunsetting systems or core conversions with fixed live dates.  Requires SVP approval.""",
IT Unscheduled Change Request,Add to price card.  $600/hr,
Accurate Group – Settlement Services,Add to price card as LPQ addOn. Setup=$2100.  Annual=$1575.  Note: Utilizes LPQ Synergic Framework,
First Close – Settlement Services,,
Lender Close – Settlement Services,,
New Vista – Settlement Services,,
SourcePoint – Settlement Services,,
United One Resources – Settlement Services,,
Universal Real Estate Services – Settlement Services,,
American Service Group (ASG) – Vehicle Insurance,Add to price card as LPQ addOn. Setup=$2100.  Annual=$1575.  Note: Utilizes LPQ Synergic Framework,
Auto Exam – Vehicle Insurance,,
ID Verification – Resolve360 – ID Analytics,Remove from price card,Since we still don’t have this Agreement in place and there is minimal usage. We're not comfortable with this as a formal offering until we actually have something in place (if we decide to) and also since they are now owned by LexisNexis.
ID Authentication – Certain ID – ID Analytics,,
Application Portal Mortgage - AccountCheck - One Time,Update name from “AccountCheck” to “AccountChek”,
Application Portal Mortgage - AccountCheck – 30 Day Monitoring,,
Application Portal Mortgage - AccountCheck – 60 Day Monitoring,,
Application Portal Mortgage - AccountCheck – 90 Day Monitoring,,
Mortgage Director (fka PCLender) - Fiserv - Consumer Credit Report,Add to  MCLprice card,
,1B = $0.25; 2B = $0.50; 3B = $1.00 Note to Sales: effective 3/1/2021,
Experian Finicity Order Retrieval API (Add On - Employment/Income/Asset Verification),"Add MCL addon
(non-aggregate bundled with manual VOE) <= 5,000: $1.00 5,001 - 10,000: $0.95 10,001 - 15,000: $0.90 15,001 - 20,000: $0.85 > 20,000: $0.80",
CloseFirst,"Remove CloseFirst1B, 2B, and 3B from MCL price card",
MLX Consulting Custom Scorecard,Add to price card. Price = “Quote”,
MLX Consulting Decisioning Optimization,Add to price card. Price = “Quote”,
MLX Consulting Enhanced Implementation,Add to price card. Price = “Quote”,
MLX Consulting Software Configuration,Add to price card. Price = “Quote”,
MLX Consulting Process and Strategy Maintenance,Add to price card. Price = “Quote”,
MLX Consulting Process Assessment,Add to price card. Price = “Quote”,
MLX Consulting Tune-Up,Add to price card,
,"$20,350 (one-time fee)",
MLX Consulting Admin Pro,Add to price card,
,"$20,000 (annual fee)",
MLX Consulting Reveal Pro,Add to price card. Price = “Quote”,
MLX Consulting Capture Rate Analysis,Add to price card. Price = “Quote”,
MLX Consulting Declined Application Analysis,Add to price card. Price = “Quote”,
MLX Consulting Disparate Impact,Add to price card. Price = “Quote”,
3rd Party Algorithm Using AchievEngine,Remove from price card,
Debit Bureau -- Early Warning Services (EWS),Remove from price card,Already marked as inactive
"Qualife 
BizChex ","Remove these ""no fee"" LPQ addOns","We do not bill these directly, and do not have NetSuite items for them, which is a requirement of the new price card format."
eFunds IDV & IDA,"""Check with vendor"" has been added as a note to Sales instead of the transaction fee.  No change to setup or annual fee.",
"LoansPQ - SSO (SSW)
LendingQB - SSO (SSW)
LoansPQ - Consumer Credit Reports
LendingQB - Consumer Credit Reports
Lending QB - 4506-T
LendingQB - VOE/I
LendingQB - VOA","Remove these ""no fee"" MCL products",Finicity VOIE remains because there are special legal terms associated with that item
ID Authentication – FIS – eFunds IDV & IDA,Clarifying that transaction fee relates to “per pull”,
ID Authentication – Equifax – eIDCompare with eIDVerifier,, 
ID Verification – Experian – CrossCore Precise ID,,
ID Authentication – Experian – CrossCore Precise ID with OPT and KIQ,,
ID Authentication - Experian – CrossCore Precise ID for Compliance,,
ID Authentication – TransUnion IDMV & IDMA,,
ID Verification – LexisNexis Bridger OFAC Watchlist,,
ID Verification – FIS – eFunds IDV,,
ID Verification – Equifax – eIDCompare,,
ID Verification – Experian – ISTWatch OFAC Watchlist,,
ID Verification – TransUnion – TransUnion IDMV,,
Indirect Lead – DealerTrack,,
Indirect Lead – RouteOne,,
Indirect Lead – RouteOne eContracting,,
Vehicle Insurance – Black Book,,
Vehicle Insurance – KBB,,
Vehicle Insurance – NADA,,
Vehicle Insurance – NADA Other,,
 ,,
