Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,MeridianLink Consumer Discount Module (Y/N),One Time Fee,NSItemID - OneTime,Annual Fee,NSItemID-Annual,Per Transaction Fee,NSItemID-Transaction,NSItemID-Overage,NSItemID-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer, Product Description ,Additional Accounting Items to Add," Logic
[e.g., 1 AND (2 OR 3)] "," Constraint #1
Dependent or Exclusion "," Constraint #1
Description (Please Explain) "," Constraint #2
Dependent or Exclusion "," Constraint #2
Description (Please Explain) "," Constraint #3
Dependent or Exclusion "," Constraint #3
Description (Please Explain) "," Constraint #4
Dependent or Exclusion "," Constraint #4
Description (Please Explain) ",Other Monthly Fee,Capability Line Level,Add On Type,Tier Name,Tier Level,Tier Minimum,Tier Maximum,Product Category
Origination - Consumer,DecisionLender4,Add On - Address Verification,Smarty Streets,Postal Verification Database (PVD),Usage,Postal Verification Database (PVD),N,2300.0,TCI-0185,,,0.11,TCI-0120,,,,,,,,,,,,,,,,,,,Fraud & Verification,Address Verification,Postal Verification Database (PVD),,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Ancillary Service,Informed.iq,Informed.iq (DecisionLender4),Standard,Informed.iq,N,6500.0,SHARED-0542,5300.0,SHARED-0543,,,,,N,,,,,,,,,,,,,,,,Automation & Integration,Ancillary Service,Informed.iq,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Consumer Portal,MeridianLink,Consumer Portal,Standard,DecisionLender - Consumer Portal,N,31500.0,TCI-0182,23000.0,TCI-0248,,,,,,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Consumer Portal,Consumer Portal,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Core Integration,CCMC,CCMC Standard Export,Standard,CCMC Standard Export,N,17000.0,TCI-0133,10250.0,TCI-0009,,,,,,,,,,,,,,,,,,,,,Automation & Integration,Core Integration,CCMC Standard Export,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Core Integration,Corelation KeyStone,Corelation KeyStone Interface,Standard,Corelation KeyStone Interface,N,17000.0,TCI-0137,10250.0,TCI-0013,,,,,,,,,,,,,,,,,,,,,Automation & Integration,Core Integration,Corelation KeyStone Interface,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Core Integration,FiServ  ,Spectrum Pathways Interface,Standard,Spectrum Pathways Interface,N,17000.0,TCI-0200,10250.0,TCI-0051,,,,,,,,,,,,,,,,,,,,,Automation & Integration,Core Integration,Spectrum Pathways Interface,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Custom,MeridianLink,Auto Counter Offer,Standard,Auto Counter Offer,N,8000.0,TCI-0325,2300.0,TCI-0323,,,,,,,"Automatic Counter Offer Configuration is limited to the following key attributes  LTV, Term, DTI, PTI, and Amount Financed",,,,1 OR 2,TCI-0267,Must have Indirect or Consumer Module,TCI-0282,Must have Indirect or Consumer Module,,,,,,Custom Score/Decisioning,Custom,Auto Counter Offer,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Custom,MeridianLink,DecisionLender Prequalification Functionality,Standard,DecisionLender Prequalification Functionality,N,12750.0,TCI-0339,3800.0,TCI-0332,,,,,,,,,,,,,,,,,,,,,Other,Custom,DecisionLender Prequalification Functionality,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Custom,MeridianLink,Enhanced Grid Functionality,Standard,Enhanced Grid Functionality,N,5500.0,TCI-0338,1250.0,TCI-0337,,,,,,,,,,,,,,,,,,,,,Custom Score/Decisioning,Custom,Enhanced Grid Functionality,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Custom Score,Lending Science 360,Lending Science 360,Standard,Lending Science 360,N,14000.0,TCI-0194,6250.0,TCI-0045,,,,,,,,,,,,,,,,,,,,,Custom Score/Decisioning,Custom Score,Lending Science 360,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,HC3 (formerly High Cotton) ,Archive files - Email notification of availability of monthly files in the Online Statement Management system,Standard,Archive files - Email notification of availability of monthly files in the Online Statement Management system,N,1175.0,TCI-0172,,,,,,,,,,,,,,,,,,,,,,,Not Mapped,Document Delivery,Archive files - Email notification of availability of monthly files in the Online Statement Management system,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,HC3 (formerly High Cotton) ,Archive files - standard,Standard,Archive files - standard,N,0.0,TCI-0233,,,,,,,,,,,,,,,,,,,,,,,Not Mapped,Document Delivery,Archive files - standard,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,MeridianLink,Document Faxing- Outbound ,Per Page,Outbound Faxing,N,0.0,TCI-0236,,,0.27,TCI-0097,,,,,,,,,,,,,,,,,,,Essential Services,Document Delivery,Document Faxing- Outbound ,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,E-fax,Inbound Faxing ,Per Page,Inbound Faxing ,N,1175.0,TCI-0164,2700.0,TCI-0259,0.32,TCI-0096,,,,,Requires/includes document imaging. Includes 1 GB storage.,,,,,,,,,,,,,,Essential Services,Document Delivery,Inbound Faxing ,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,HC3 (formerly High Cotton) ,Mailing service - Additional Letter Templates,Standard,Mailing service - Additional Letter Templates,N,575.0,TCI-0292,,,,,,,,,Fee for each additional template,,,,,,,,,,,,,,Not Mapped,Document Delivery,Mailing service - Additional Letter Templates,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,HC3 (formerly High Cotton) ,"Mailing service (1-2,499)",Per Letter,"Mailing service (1-2,499)",N,1625.0,TCI-0171,,,2.55,TCI-0102,TCI-0102,TCI-0268,N,185.0,Includes Automatic Decline Letter per DecisionLender provided sample,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing service,Tier 3,1.0,2499.0,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,HC3 (formerly High Cotton) ,"Mailing service (2,500-4,999)",Per Letter,"Mailing service (2,500-4,999)",N,1625.0,TCI-0171,,,2.48,TCI-0102,TCI-0102,TCI-0268,N,4500.0,Includes Automatic Decline Letter per DecisionLender provided sample,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing service,Tier 2,2500.0,4999.0,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,HC3 (formerly High Cotton) ,"Mailing service (5,000 and over)",Per Letter,"Mailing service (5,000 and over)",N,1625.0,TCI-0171,,,2.21,TCI-0102,TCI-0102,TCI-0268,N,8000.0,Includes Automatic Decline Letter per DecisionLender provided sample,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing service,Tier 1,5000.0,0.0,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Delivery,FSSI,FSSI Reconciliation Report (DecisionLender),Bill Monthly,FSSI Reconciliation Report ,N,1075.0,SHARED-0557,1908.0,SHARED-0552,,,,,,,"""This is a development charge from  FSSI. No price reductions are allowed. (estimated FSSI development time to 3 hours) per client 
 Charge to FSSI, no price reductions allowed. ""

""FSSI will transmit a report directly to the client via an SFTP connection. No setup is required on the DecisionLender side. Credentials must be provided and transmitted directly to FSSI as part of the report setup. The fields currently displayed on the report include the applicant's name, address, and the date and time the letter was mailed. Additional fields may be available but could increase setup fees charged by FSSI. Confirmation of the availability of extra fields will need to be obtained from FSSI.
 an SFTP connections,  
 Client will need to provide credentials 
directly to FSSI. ""","""Development fee related to the
 configuration of the FSSI reconciliation report.  ""

The client must provide SFTP credentials to receive the report directly from the mail house provider. The client must choose between daily or weekly report frequency. The report will include the consumer's name, address,  the date and time the letter was mailed and the PDF name of the letter sent. ",,,1,,Client needs to be enabled for FSSI letters.,,,,,,,X,Not Mapped,Document Delivery,FSSI Reconciliation Report (DecisionLender),,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Prep,MeridianLink,Indirect Document Package,Standard,Indirect Document Package,N,1475.0,TCI-0321,725.0,TCI-0322,,,,,,,"Limited to Adverse Action letters, Counter Offer Letters,  RBP Notices and Welcome Letters.   (One for Applicant and Co-Applicant Allowed)  Additional documents require the Document Mapping Loan Package. Additional documents require custom scoping ",,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Indirect Document Package,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Document Prep,Finastra,Laser Pro Export,Standard,Laser Pro Export,N,8000.0,TCI-0167,1575.0,TCI-0033,,,,,N,,"Decision Lender is Coded to Laser Pro Basic,  for other Laser pro product please consult with product before selling",,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Laser Pro Export,,,,Add Ons
Origination - Consumer,DecisionLender4,Add On - Employment/Income/Asset Verification,Equifax,The Work Number,Standard,The Work Number,N,3900.0,TCI-0208,1375.0,TCI-0059,,,,,,,,,,,,,,,,,,,,,Fraud & Verification,Employment/Income/Asset Verification,The Work Number,,,,Add Ons
