LEGACY Product Name,Date Removed
Customer Credit Access,2019-01-01
Removed App Portal from setup discount since guided setup is not standard,2019-01-01
Removed Home Banking SSO from AddOn to avoid confusion around AP+ vs A la Carte,2019-02-01
Remove Conmar fee for Standard Adverse Action form,2019-02-01
"Make Ascensus docs a standard forms vendor. Therefore, removed special pricing from price card.",2019-03-01
FIS Systematic core system,2019-05-01
RC01,2019-05-01
"Removed CUNA Protection Advisor (IWC), Frost Financial, IQQ, and Lender's Protection as vendors we have a separate charge for",2019-08-01
Removed standard XpressCollect discounts (customer loyalty and ramp-up),2019-08-01
Calcubot,2019-08-01
Rate Reset (replaced with Rate Reset programs for PreApproval API and Direct Core Reset),2020-03-01
LPQ Web Service Licensing (added back March 2021),2020-05-01
Social Media Integration removed from AP Plus package,2020-08-01
SavvyMoney,2020-09-01
XpressCollect and MLX Insight Promotions (expired July 2020),2020-09-01
Experian Precise ID and Precise ID with KIQ (replaced by Experian CrossCore PreciseID versions),2020-11-01
"App Portal ""Lite Implementation""",2020-12-01
XA Fast Track module,2020-12-01
Equifax Credit Reports,2020-12-01
Experian Credit Reports,2020-12-01
Equifax Retail Banking,2020-12-01
Equifax Retail Banking with Pre-Screen of 1,2020-12-01
Xpress Sign Pro for iPad,2020-12-01
Deluxe Detect with IDA (vendor sunset),2020-12-01
Deluxe IDA (vendor sunset),2020-12-01
In the Lead Consumer Credit Reports,2021-03-01
VueCentric Consumer Credit Reports,2021-03-01
Debit Bureau - Early Warning Services (EWS),2021-03-01
In brand SSO (Active Directory) -- temporary removal to revamp implementation to confirm to latest standards before resuming sales,2021-03-01
LoanAce Consumer Credit Reports,2021-04-01
eMagic Consumer Credit Reports,2021-04-01
On the Go Consumer Credit Reports,2021-04-01
SBA PPP Module,2021-05-01
DecisionLender - Account Opening Module,2021-07-01
First Close integration,2021-07-01
Black Book Enhanced VIN Matching,2021-07-01
Kelley Blue Book Motorcycle Values,2021-07-01
Reynold and Reynolds Contracts Direct Lending (Finance Companies),2021-07-01
Reynold and Reynolds Contracts Indirect Lending,2021-07-01
Reynold and Reynolds Contracts Lease Retail,2021-07-01
Reynold and Reynolds Forms,2021-07-01
Wolters Kluwer Contracts Direct Lending (Banks and Credit Unions),2021-07-01
Document Mapping (deposits) - DecisionLender,2021-07-01
Document Mapping (overage) - DecisionLender4 Opening,2021-07-01
Document Mapping (loans + deposits) - DecisionLender,2021-07-01
National-Level Criminal Records Alias Lead Generator from National Background Data (TazCloud User),2021-08-01
National-Level Criminal Records Lead Generator from National Background Data (TazCloud User),2021-08-01
State-Level Criminal Records Lead Generator from National Background Data (TazCloud User),2021-08-01
National-Level Criminal Records Alias Lead Generator from National Background Data (Not a TazCloud User),2021-08-01
National-Level Criminal Records Lead Generator from National Background Data (Not a TazCloud User),2021-08-01
State-Level Criminal Records Lead Generator from National Background Data (Not a TazCloud User),2021-08-01
